time,ardx,arsx,ca,iedx,iesx,iidx,iisx,inlet,sma
0.005,1.2335386322545638,0.3999180086942169,2.8394863241968005,3.810568414422094,4.166623032932104,2.351706161664202,1.1629646625270753,-25.587755423653505,3.260002884777438
0.01,1.4764635805213209,0.5747040032421825,3.2683222705591124,5.010803936706908,5.578836721556888,3.0390346323394666,1.4999731300851713,-25.783629862861865,3.7447550830987697
0.015,1.4996645606820884,0.6326792029004804,3.235181676176932,5.481513426703254,6.195848773142081,3.2842723910106764,1.6205258052830858,-26.045647078857947,3.698277153136802
0.02,1.4913185870317964,0.6491327435484627,3.168154268413467,5.725750354512766,6.544318335951381,3.4052598635043836,1.6815919525508694,-26.379276822363373,3.614329696542771
0.025,1.492024421618773,0.656734638095168,3.1426037592184484,5.893621970298202,6.78720478231104,3.490946211748006,1.726315206527651,-26.793340815206893,3.579034536072666
0.03,1.5078740399233537,0.6664960504692551,3.1613757013606882,6.0393660212618885,6.988555750177271,3.5702713034149425,1.7683235896648302,-27.30312151654306,3.594645187798427
0.035,1.5377711899278974,0.6810029398426496,3.216415663227301,6.187781480939498,7.180822408106426,3.6552580334295897,1.8131312329301734,-27.925276163133372,3.6515396869184777
0.04,1.5810526673498584,0.7009602097311038,3.30328628103694,6.354124147841517,7.384981704401815,3.7533718134043,1.8643278211106988,-28.686693700613464,3.744200610824049
0.045,1.6381377269875788,0.7269010128695035,3.421270777140822,6.549713530196325,7.616568658106401,3.8704909936348715,1.9248888784702807,-29.61943631103763,3.8713675545161648
0.05,1.710197453498312,0.7594437127728726,3.5720430751167402,6.784616838667288,7.8888947516601995,4.012152843108632,1.9976502213068232,-30.759721592285757,4.034698330530437
0.055,1.799702044623697,0.7997707083587896,3.7603351689936444,7.069525889460609,8.215291778652883,4.184568985676812,2.08584962512092,-32.15416785380425,4.2391174872003
0.06,1.908932736267436,0.8489169448445983,3.9907089409840997,7.414775685898168,8.608396289005416,4.393772554265248,2.192564131386919,-33.84775475343894,4.489685848024779
0.065,2.0404841249154173,0.908021590127219,4.268486845127285,7.831361414946365,9.08135141551535,4.646241110431285,2.321072787323408,-35.88942473177427,4.792404950907871
0.07,2.1972608123601924,0.9784140835729312,4.599593952896306,8.330484076306188,9.647372443544027,4.948621885350041,2.4747631242271986,-38.33035327043564,5.1538426798429535
0.075,2.380924321337243,1.060770636869277,4.987429163611468,8.92189481433575,10.318145260215786,5.306553710549336,2.656400102914116,-41.21037826004038,5.578260093848085
0.08,2.5936006029923675,1.1560342972571052,5.436256738567666,9.615316745157658,11.10519251553899,5.725737257862132,2.8688525855151585,-44.571594427894766,6.070603537038783
0.085,2.836357613837603,1.264675101206481,5.948075807006548,10.41816410131901,12.017509494254966,6.210411924513596,3.1142190923622834,-48.442896281997115,6.633482991489471
0.09,3.1090648552348443,1.3865422721792293,6.5224131041260165,11.33548911871498,13.061503330543946,6.763313930198023,3.393782336227952,-52.83917901877412,7.267069909486491
0.095,3.4121874769602965,1.5218877106028925,7.159859083246443,12.371157055635146,14.2420264489703,7.386620363087461,3.708690244623414,-57.774573717251336,7.972145160793224
0.1,3.7436058711307,1.6696938747840582,7.855673030389805,13.52412432558729,15.558607224819106,8.079354939994102,4.058358865506234,-63.23363443234799,8.744216112089362
0.105,4.101518175510702,1.8290937734360404,8.605762536826674,14.792045785267888,17.0090738764199,8.839886809770045,4.4419669896698695,-69.19852395761302,9.579175804457043
0.11,4.484647558624807,1.9996705118177798,9.4069333068106,16.17033909826936,18.588448780284274,9.665424359068584,4.858278827274907,-75.64692934979567,10.473186683336017
0.115,4.882396268431239,2.176175984143275,10.237057469197687,17.641203831897652,20.277962924195446,10.544280813617663,5.300826925231788,-82.46444210891374,11.404537644731166
0.12,5.301145501098324,2.3624192530541928,11.108244132517218,19.201856068223485,22.07303582391399,11.475966406166219,5.77047700969004,-89.6754526784877,12.38230821736004
0.125,5.733438099476523,2.5541825424570277,12.005936564048264,20.841645777787477,23.962130222621525,12.453477716446026,6.263091545382763,-97.20722753948593,13.393324791771073
0.13,6.173558147129497,2.7492903072553982,12.917400359373888,22.541456472851056,25.923712895719685,13.465195435207637,6.772897459342375,-104.96664397137648,14.423132596869905
0.135,6.615513210855355,2.9449301639059913,13.830125919783226,24.28248181269244,27.936363690786578,14.499735194516223,7.29406829329184,-112.86137781527336,15.458159183743788
0.14,7.055558683332492,3.1395615942955315,14.7361698433476,26.046842137120386,29.979252397472607,15.546580425215394,7.821430278189498,-120.81420051366533,16.48880478966018
0.145,7.4878032830032435,3.330538330223199,15.623358315573121,27.813597087157298,32.02836700911234,16.593102522482393,8.348544392948256,-128.72687275151682,17.501561423397327
0.15,7.90709081582883,3.5155342986343854,16.481140594693393,29.562456255876683,34.06028596978051,17.627105324101798,8.869252799579234,-136.5073775888203,18.484511119695956
0.155,8.308508149456438,3.6924345863913426,17.29943979591532,31.272502625284467,36.05076648915262,18.63603341355877,9.377277392704723,-144.06294751431562,19.42598463046111
0.16,8.686320753370374,3.8586503398008762,18.066655329770818,32.92206163674751,37.974710193672735,19.606752721851127,9.865944245611967,-151.29410698567978,20.313011303371876
0.165,9.036124971794948,4.01227746148989,18.773942083589212,34.491167539438365,39.80864538763682,20.527281777592073,10.329251324547544,-158.113919239841,21.135228211767473
0.17,9.352643851828319,4.150999282662272,19.41067332562868,35.95878391604797,41.52798760505985,21.384900687579304,10.760725575127672,-164.42728929148404,21.8805745453902
0.17500000000000002,9.631616981298507,4.272941783539284,19.968391805424844,37.305884088059905,43.11037546659116,22.168274313047977,11.154588307229778,-170.15131329259017,22.53924003006659
0.18,9.86930554536096,4.376516141954885,20.439720405755786,38.514659089722855,44.5349149107619,22.866929791205834,11.505473541720194,-175.21001584374085,23.102495886397772
0.185,10.0617377710345,4.459973751350642,20.816822528033853,39.56804028796556,45.78169830950444,23.470802904281037,11.808143192899049,-179.52856894708225,23.561349656973317
0.19,10.206416212148634,4.522248830064002,21.09491255089925,40.45216678756851,46.8343573444254,23.971879917787685,12.05847652944317,-183.05032980886887,23.909871078873614
0.195,10.301321973771215,4.562514613277778,21.270185205537068,41.15516464399627,47.678848775435775,24.36332929170006,12.252983843321882,-185.72753959035347,24.14319067064941
0.2,10.344960354938083,4.580097475966211,21.33998972685665,41.66810061815289,48.304577488707835,24.640097520983996,12.389056239530623,-187.52483800393395,24.257957999700373
0.20500000000000002,10.337427168797163,4.575123175263303,21.304847899158034,41.98562990652183,48.705029797738476,24.79951781637813,12.46537682716174,-188.42696614424102,24.254012969859406
0.21,10.278978273122426,4.547723423585918,21.16562060498749,42.104846440013986,48.87662698443852,24.840398217452037,12.481312602453656,-188.42738769783227,24.131880566021096
0.215,10.171401421246332,4.498697889146093,20.92629114686494,42.02729038566555,48.820753152125896,24.764305091503182,12.437707719118798,-187.54193948736048,23.895492099312914
0.22,10.017594774845659,4.429426647406853,20.592994834005818,41.75768950283862,48.54233906137868,24.574696873642598,12.33648516700375,-185.80224517725634,23.551017735457275
0.225,9.819321065142978,4.340578121791472,20.169625660007785,41.30203791996132,48.04809685105893,24.275508442397697,12.179668193617793,-183.23784626219492,23.103009435578695
0.23,9.585130508223116,4.236234340605504,19.67386382809885,40.676944657483105,47.355984379056736,23.877709331541055,11.973346654878998,-179.94851745681976,22.569303192360422
0.23500000000000001,9.31230295711411,4.114655352896462,19.100414757821753,39.887799095065134,46.47313361002166,23.384067874984925,11.718434851979547,-175.93742957038887,21.946620517478998
0.24,9.008656967364823,3.9797992064352323,18.464879439203422,38.9496571395351,45.41611192594587,22.804393481386754,11.420469200712828,-171.29420762712294,21.250239725028834
0.245,8.677932406759984,3.833073213122435,17.775245241876597,37.87787051304609,44.20247066361852,22.147993206692014,11.08414724603958,-166.08841823591777,20.489685220688706
0.25,8.32494932188801,3.676651971881476,17.04132261962678,36.688553803403586,42.85058501367826,21.424680553983368,10.714579850611509,-160.39711550154217,19.675791857625295
0.255,7.953194309317077,3.51202598367908,16.27019291328607,35.396559113402574,41.37764183665738,20.643265114156186,10.316251557777303,-154.28596505324452,18.81683373401966
0.26,7.566286561705393,3.3407621877836693,15.469178722153586,34.016730860286884,39.800822416675715,19.81252274091512,9.893640339829215,-147.82118353047846,17.92123922941442
0.265,7.167345781799619,3.164236166729833,14.64452198702376,32.56253308980612,38.135843743121605,18.940379231593482,9.450756272994397,-141.06183273256738,16.996216008426654
0.27,6.758956171750301,2.9835665626908545,13.801367330328638,31.04611189810641,36.39691313306332,18.033902139412536,8.991145360056864,-134.05979193668878,16.047828910880515
0.275,6.343560267721967,2.799819439869796,12.944559159263976,29.478614130081162,34.59709253889705,17.09961388134648,8.518071263536179,-126.8630783978127,15.081747308443923
0.28,5.923506975306845,2.6140474402523237,12.078749631468067,27.87022719099731,32.74828161672258,16.143460154192343,8.034524960952446,-119.51612290321489,14.10332454610414
0.28500000000000003,5.500786374565619,2.4271128451062576,11.207902539952125,26.23023239935871,30.861309297405285,15.17081803028512,7.543187536631273,-112.05858820192887,13.11723881588865
0.29,5.077695199847605,2.2400480085310446,10.33660680674306,24.567749094714124,28.946701839903103,14.187025153098205,7.046749057955668,-104.53125761319963,12.128682109059458
0.295,4.656698598421849,2.053960624519878,9.469853681774739,22.892002427934916,27.01500734895395,13.19750878570103,6.5479636746917675,-96.97623775643049,11.143242293294179
0.3,4.240384761302084,1.8700031920454636,8.612963854193099,21.21260931995172,25.07711286718323,12.207926189839416,6.04969008349158,-89.43757951723282,10.16688894559637
0.305,3.8319091847427247,1.689599840986206,7.772485231357809,19.540321994130736,23.145073882452863,11.224654811275057,5.555187835866017,-81.9660680088259,9.206834945175206
0.31,3.434592535004884,1.514246877717941,6.95533596513706,17.886639448862415,21.23180695399983,10.254516285795281,5.067929248705582,-74.61579413445396,8.270726558005672
0.315,3.051786732064921,1.3454181780133567,6.168577680562024,16.263959616141953,19.3512919826582,9.304811984180773,4.591590634330762,-67.44394503308045,7.36650798275435
0.32,2.6874850613403485,1.1849144472685251,5.420585191243175,14.686063582075688,17.51906804633413,8.383702342539053,4.130313516071668,-60.51556075341981,6.503428350771886
0.325,2.344969267870624,1.034174074797349,4.718295526142738,13.166402408537188,15.750502849184505,7.499031829430038,3.688006831601557,-53.89083597400962,5.689452991349253
0.33,2.0274477097192145,0.8945733976325008,4.068531587992636,11.718848060680436,14.061550096997713,6.6588487960481135,3.268650155801492,-47.630955106453726,4.932505113944671
0.335,1.7384900419530338,0.7677480776303279,3.478753766579331,10.357304253279874,12.468183905175438,5.87124701760181,2.876300190187856,-41.79895080131254,4.2409233764312395
0.34,1.478811397390268,0.6538747547171695,2.9505737420725886,9.091906928741516,10.982557384591377,5.141745759573054,2.5134849756234416,-36.430477661709986,3.6175225648871705
0.34500000000000003,1.2552283164516624,0.5561723161754661,2.498163388864088,7.94071909509264,9.62490198090449,4.481311284670093,2.1859632928579433,-31.619465299559952,3.0770054846594754
0.35000000000000003,1.0581261598877378,0.4697669728817543,2.1016900364074624,6.898811653080262,8.39187531221115,3.8853289453766324,1.8904024019816343,-27.2975182511849,2.601516652635917
0.355,0.8942270509785956,0.39827751346785495,1.7742943420970805,5.975975531694139,7.294186877362396,3.3601293831698555,1.6306185346869237,-23.530667491694373,2.202958144745444
0.36,0.7603345552885955,0.33992019967043124,1.509646883032141,5.172890022029933,6.33361277064647,2.9054265474369707,1.40604853197668,-20.303947539848462,1.8760679264566287
0.365,0.6556043285328034,0.2943635229009025,1.3057212511303906,4.489699598768259,5.510920420224242,2.5210144174869464,1.2165414364291116,-17.612668099748515,1.6188030296551104
0.37,0.5770791687459892,0.26029840875608784,1.1560776066474634,3.921523110966519,4.821387526874664,2.2035781016434637,1.0603018568265266,-15.424808650140927,1.4245627840127164
0.375,0.5215977921402297,0.23626695923570393,1.053929787247034,3.461612954966404,4.258056789033905,1.9487853126997472,0.935052870083534,-13.701569752942788,1.2862672039182546
0.38,0.48673767911696386,0.2212676156723276,0.9939424930233807,3.102077548345665,3.8124030483704185,1.7518337874932035,0.8384185793456642,-12.4045460066011,1.197865174779174
0.385,0.4689841090178232,0.21372425572980164,0.9686434176381923,2.8327044156472034,3.4732721281056227,1.6064977071947995,0.7672296296144662,-11.482302691451315,1.1512469523206665
0.39,0.46590862745902717,0.21258152274073505,0.9728630026588344,2.6440070888713647,3.230020579354558,1.507175905325294,0.7187265670541662,-10.891732635677183,1.140449270091148
0.395,0.47538179124612384,0.21695540085834208,1.0020785119069098,2.5264612222557563,3.0718044381163336,1.4483184578685737,0.6902014132604203,-10.591295287264513,1.1600939822383252
0.4,0.49528614348628097,0.2258921782922632,1.0519271286348935,2.471124403619031,2.9883613366987256,1.4247205070786242,0.6790745274577018,-10.541548893415962,1.2051626007937934
0.405,0.524889195644386,0.23912372481637162,1.1209203561491692,2.4712861684149714,2.9717186862686407,1.4326549154647903,0.6835938009952914,-10.717640492864344,1.2734535802662734
0.41000000000000003,0.563310837260049,0.2562769437826667,1.2073322797987343,2.5210054459476807,3.0147992208968386,1.4687907786715657,0.7021448076390099,-11.096399148750733,1.3627387674536637
0.41500000000000004,0.6103386761480571,0.27725199561639535,1.3108799455406075,2.6164282480315797,3.1128196552749197,1.5310560072159431,0.7337446181388239,-11.664918650788525,1.4723994363942023
0.42,0.6663766912883345,0.30227097596804986,1.432518589188129,2.7553305248975346,3.262814476918956,1.6183682932756644,0.7779306771268638,-12.418697448137692,1.603087151997273
0.425,0.7312809422538622,0.33123763425711905,1.5721165166406665,2.9359604788440907,3.462503637482644,1.7298011232065345,0.8342295215547227,-13.351755750970367,1.754625825865027
0.43,0.8055559346119687,0.36438052590099734,1.730831765930625,3.158050242203211,3.7112647115023316,1.865345730144841,0.9026674262468511,-14.466214045232896,1.9281176346919202
0.435,0.8890869299751167,0.4016456246130371,1.9084853961388721,3.4208384910990763,4.008074016263951,2.024598042943845,0.9830231811307981,-15.75913885551406,2.1233870955823515
0.44,0.9812616136275769,0.4427079830766874,2.103863458625063,3.7231905295868724,4.351603481325313,2.2068562361892394,1.0748840380787652,-17.22367499120031,2.3393075741775196
0.445,1.0816776063479503,0.48741168249173383,2.316066609114513,4.0636403535616745,4.740137259266941,2.4112589096430463,1.177816900733677,-18.852871584357125,2.574862179012085
0.45,1.1883877063180055,0.5348338848029641,2.5409987795529254,4.4382685523913645,5.169401811931827,2.6353219258486313,1.2904722163914613,-20.623606571128793,2.8259216068066983
0.455,1.2999738659991458,0.5843295488583434,2.77561033177788,4.843015487892582,5.634847109244011,2.876577385266422,1.411589521359368,-22.515140589582217,3.0891972470589266
0.46,1.412496422584241,0.6341262125051427,3.011482787770616,5.268501532395531,6.126196886849115,3.129167377391284,1.5380926532699823,-24.47594238452343,3.355878412469589
0.465,1.5272391042333078,0.6849295435199443,3.251165194206262,5.7122484181134086,6.640112522504593,3.3919860957213768,1.6696855203974326,-26.505096240232945,3.627729739079734
0.47000000000000003,1.638815404200374,0.7341364617180687,3.4835183847389377,6.163150810737137,7.164439568142318,3.6579994576322306,1.8025297534998044,-28.53821236707133,3.8936224190194197
0.47500000000000003,1.7456040413160312,0.78115265756812,3.7048940387217106,6.612462012598911,7.689040670379173,3.9221047760119014,1.934178688091273,-30.538400464047342,4.148963467552434
0.48,1.8448447051104806,0.8247429104107838,3.9095072316291475,7.050063455250036,8.202303627187819,4.178274246331408,2.0615941579213324,-32.458623206097826,4.387292753954082
0.485,1.9349063532030684,0.8642040666241496,4.093977130982378,7.467388804896591,8.694150842525826,4.421547735022111,2.182345411639193,-34.26301944092471,4.604498973226604
0.49,2.0144068430288646,0.898962742223582,4.255478877143638,7.856511135096005,9.155177801801935,4.647369342202244,2.2942024985934864,-35.91916689421898,4.7970575273750375
0.495,2.0822142105201227,0.9285126228914508,4.3918002938685365,8.210746848923204,9.577372170465049,4.851921076648243,2.395276266984469,-37.40007036410797,4.962226739514822
0.5,2.138371712153904,0.9529221100918611,4.503170315792241,8.525775506799492,9.955270182475552,5.032888134220452,2.484495133674064,-38.692604747734286,5.099711517508598
0.505,2.182856460312234,0.9721885127814254,4.5897444355424915,8.79849200745157,10.284855525844197,5.188614689929388,2.561065524317349,-39.787184847103234,5.20936755293996
0.51,2.216453828227479,0.9866711674979841,4.653376211110499,9.02817080711659,10.56476417570732,5.3188912046896,2.6249408885068464,-40.6861365669084,5.292868143089974
0.515,2.24032808643122,0.996914202388743,4.696688430428548,9.215742499324003,10.795551931283452,5.424472858046527,2.6765540636683856,-41.39901293347873,5.352760725872124
0.52,2.2554264718220205,1.003315526807979,4.721877104769007,9.36312601125234,10.97904560131845,5.506610198023537,2.7165249790801442,-41.937303276672836,5.391377238100106
0.525,2.263315888825521,1.0065856925453405,4.732367128232233,9.473841189841938,11.118919127684457,5.567528480475246,2.7459964999112154,-42.32083742348934,5.412283270071421
0.53,2.2651277377372603,1.0072166738278698,4.730658907783499,9.55154855660802,11.219185421885369,5.60944469678476,2.7660564411082182,-42.56747908316489,5.418240500303598
0.535,2.2619019928064628,1.0056439437348068,4.719033570865153,9.600268749008068,11.28436677321831,5.63475447594059,2.777868281529961,-42.695686312556035,5.411848385125872
0.54,2.254615609220489,1.0023056707916227,4.699560696111384,9.623888170405468,11.318905306434893,5.645763418738463,2.782562855331181,-42.723036207417465,5.3954343357838095
0.545,2.243689250505336,0.9973627638494741,4.6731358772781215,9.625523211453006,11.326488233936452,5.644258467438688,2.780974410107315,-42.661625163197414,5.370192802455828
0.55,2.2295687449609503,0.9910015492906058,4.6406594836873545,9.608000201266838,11.310479104720507,5.631871473268994,2.773881292579698,-42.522718979372264,5.33725697987247
0.555,2.212411352014235,0.9832964460296701,4.602382651469348,9.573224864985407,11.273229061152897,5.609672047292825,2.7617841721869367,-42.313040408535244,5.297039673435344
0.56,2.192040648274385,0.9741440910778253,4.557877205916148,9.522341282645439,11.216252438899623,5.578251357073079,2.7449291348898504,-42.03512392353177,5.2492876279717064
0.5650000000000001,2.1686341917010465,0.963640707431769,4.507413892671471,9.456412849313562,11.140897099996215,5.538210400646324,2.7236235315471866,-41.693153782627064,5.194320972334834
0.5700000000000001,2.142036311828093,0.9517215923730887,4.450588015798042,9.37574416329198,11.047683013911206,5.489668458993331,2.6979252104471345,-41.287155701647976,5.131788804761937
0.5750000000000001,2.112549766245456,0.93851129573488,4.388001810778377,9.28136423626074,10.937865473307422,5.43322636435171,2.6681710444152493,-40.822064750335336,5.062374633912937
0.58,2.0797937084627542,0.9238492609400332,4.318785646160218,9.17288967539739,10.811189799643218,5.368571969769753,2.6342220250503736,-40.29454442308632,4.985242214617102
0.585,2.0445165872889937,0.9080924478705841,4.244466833319297,9.051593171822741,10.66909667376931,5.29651034253096,2.596587722247079,-39.71277359391979,4.901909692649936
0.59,2.0072768693697647,0.8914902547661088,4.166227016266599,8.918931110007602,10.513276890244702,5.217918716050993,2.5557795985327045,-39.084565608432996,4.8136650314744065
0.595,1.9687607438084123,0.8743537181078626,4.0855140649879695,8.776821389044093,10.345942953732909,5.133953274697898,2.512440548458991,-38.41987449738138,4.722087686967154
0.6,1.9296293411281353,0.8569683605181053,4.003738311253385,8.627523294642954,10.169717086476496,5.045960165851252,2.4672764284130326,-37.72959171660557,4.6287786203086965
0.605,1.8907905226913695,0.8397491806080069,3.922802736788445,8.473812576161038,9.98779726337944,4.955617242623498,2.4211595824646897,-37.02754337046686,4.535814158053211
0.61,1.8527958490094023,0.8229266487357625,3.8438798895489827,8.318231733240912,9.803201854058594,4.8644162134526585,2.3748210824067675,-36.324884028117765,4.444610649009402
0.615,1.8163098762461614,0.8067920086884629,3.768354557981334,8.163483721158727,9.61912743919895,4.773959517054515,2.329051901235502,-35.633847338210515,4.356768209275832
0.62,1.7817607611500073,0.7915321734649647,3.6971019926378212,8.011848608861147,9.43832629641208,4.685575983502283,2.284490868777589,-34.96399991547277,4.273363123691174
0.625,1.749233633120714,0.7771662599680645,3.630278430981954,7.864961188518122,9.262859254993149,4.600179314235779,2.2415495507814103,-34.32097623312345,4.194748493053328
0.63,1.7188159627875845,0.7637311501306372,3.5680173519704503,7.724059723781457,9.094313690936755,4.5184637552161595,2.2005484159250566,-33.70912330417162,4.121173148356947
0.635,1.6902563801206325,0.7511106324455056,3.509738320700445,7.5894991151596995,8.933291960813495,4.440577081548792,2.161524812639367,-33.12812696410069,4.052128557932592
0.64,1.6631543354001794,0.7391130708191381,3.454558367923295,7.4610573545179,8.7797234979189,4.366325460230823,2.1243465628021716,-32.57504650082816,3.986767750257287
0.645,1.6372181790621214,0.7276217658101742,3.401800651128183,7.338148828361874,8.63306638111088,4.295333798784778,2.0888205979922154,-32.0463617730581,3.924351471735723
0.65,1.6118758658434313,0.7163755701438956,3.3502321715095427,7.219554316754203,8.492061622050981,4.226832756462654,2.0545409022956194,-31.535066589789132,3.8635932891136715
0.655,1.5868509178108254,0.7052578220767236,3.29924159578102,7.104226869944211,8.355557788763287,4.160202413640599,2.021205324847503,-31.036322042852284,3.803779213007132
0.66,1.561948109844786,0.694199074776042,3.248392880302032,6.991100623229547,8.222333470746266,4.094826972921705,1.9885224296720134,-30.545674481568163,3.7443508241511556
0.665,1.536976508655731,0.683107452923222,3.197302249691579,6.879312891795357,8.091366260121498,4.030206006735485,1.9562442071726542,-30.059380775062333,3.6848651034390962
0.67,1.5122544128778155,0.672146606640866,3.1466380021128435,6.768799372455972,7.962444040608433,3.9663634842191784,1.924420465375431,-29.57896587688692,3.625899399021484
0.675,1.4879514213974365,0.6613934406635619,3.096787806869764,6.6596546821929365,7.835554388921427,3.9033806803769417,1.8931013573568785,-29.10565939384369,3.5678355232602543
0.68,1.4645383212951721,0.6510528184393214,3.048783342086404,6.552800907187487,7.711586485365238,3.8418430120365206,1.8625961193722924,-28.644949450741898,3.5117483547201775
