time,ardx,arsx,ca,iedx,iesx,iidx,iisx,inlet,sma
0.005,2.163990356421597,0.9512073764533798,0.42126915981318025,3.9860763168317175,4.640240471600666,2.915426920369346,2.756047535486864,-24.598282377918743,0.6471301591569334
0.01,2.3663167261496594,1.1201070842367995,0.5567201376799245,5.166812338217161,5.919894004934354,3.6336987276417188,3.7561870009049496,-24.786582403700233,0.7376229661600259
0.015,2.2460863248094647,1.1163702530170283,0.5873626919702432,5.593180903637261,6.352120826123089,3.8075275469854044,4.229241779662374,-25.038467462697778,0.7242713394288689
0.02,2.1388197020354243,1.0943118351896843,0.5878817017728992,5.7996385135629875,6.568475126611197,3.858961115359127,4.512028161782925,-25.35919581901781,0.7035032931161114
0.025,2.0880304443512836,1.0856275660293175,0.5864514595373728,5.938985237051643,6.7310060116135375,3.895329164645054,4.714115418843565,-25.757248040467474,0.6938087167637659
0.03,2.084226814771731,1.0934570662572214,0.5912631885492018,6.063821627303399,6.887728723135066,3.9442563593983913,4.880341611921397,-26.247315626801957,0.6962467441685414
0.035,2.1143859923598045,1.1152174574734635,0.6031913340159474,6.197287861067093,7.057772250632181,4.013437631221723,5.034075890129653,-26.845411689057162,0.7085498951926943
0.04,2.1715178664459343,1.1493787145195178,0.6220027219563866,6.353479095892943,7.253576226011207,4.106939436703328,5.190808324451138,-27.577385372641885,0.7293096382323994
0.045,2.2531779704497614,1.1957669416297299,0.6477223644201279,6.542891033563331,7.485562669810506,4.228453038040574,5.362246041299465,-28.47405902472584,0.7581456241332667
0.05,2.359532968110552,1.254973306701618,0.6806496371918632,6.774993085692754,7.764068080508448,4.382284608335315,5.558424236682978,-29.57024972235897,0.7953004613243564
0.055,2.4934790332300043,1.328937116042073,0.7218455017126897,7.060107795084852,8.100998285458381,4.574256844039717,5.789235410363011,-30.910773046022804,0.8419072241565124
0.06,2.6578644628245724,1.4193031892191048,0.7721843374704631,7.408262047215055,8.508062016805686,4.810273283053323,6.063935178504497,-32.538869300074005,0.8989833249337517
0.065,2.8561646883841623,1.5279609948581472,0.8326527363319368,7.830248165872172,8.99789827957817,5.096962598786183,6.391977911521754,-34.50158833576154,0.9677225940755076
0.07,3.092347199258873,1.6571568002365136,0.9044677234327628,8.337139789402325,9.58345665296765,5.441249725972853,6.78277990227078,-36.84812668120153,1.0495287951283214
0.075,3.368372848339911,1.8077768048939182,0.9880177828896743,8.93849474787337,10.275776154145127,5.848735874876721,7.244599733130962,-39.616781728397925,1.1450077609271787
0.08,3.6869626679883902,1.9813171460697618,1.0840517361587696,9.643939860868398,11.086002675511219,6.325153779211227,7.785489559934842,-42.84802037823583,1.255102948407848
0.085,4.049130209533002,2.178301157262315,1.1927713386070538,10.460738657903963,12.022470012436349,6.874387486518498,8.411661894626121,-46.56961982033048,1.380159050197953
0.09,4.454058153033984,2.398092198440721,1.313660772318212,11.393760004006458,13.090695639273582,7.498443316275748,9.127369111215046,-50.79589924129225,1.5198200396019448
